date,platform,product_category,model_name,condition,launch_price_usd,launch_price_inr,current_price_usd,current_price_inr,discount_pct,sale_event,stock_status,rating,reviews_count,z_score
19-09-2020,Flipkart,Watch,Apple Watch Series 6 ,New,429,42042,435.81,43322.41,-0.016,Regular Sale,In Stock,4.7,40,-0.693869878
20-09-2020,Flipkart,Watch,Apple Watch Series 6 ,New,429,42042,436.49,42320.43,-0.017,Regular Sale,Out of Stock,4.6,84,-0.716077928
23-09-2020,Amazon,Watch,Apple Watch Series 6 ,New,429,42042,422.73,40879.36,0.015,Regular Sale,In Stock,4.4,110,-0.748018043
23-09-2020,Amazon,Watch,Apple Watch Series 6 ,New,429,42042,425,42008.7,0.009,Regular Sale,In Stock,4.8,111,-0.722987164
24-09-2020,Amazon,Watch,Apple Watch Series 6 ,New,429,42042,436.22,41984.28,-0.017,Regular Sale,In Stock,4.7,35,-0.723528413
26-09-2020,Flipkart,Watch,Apple Watch Series 6 ,New,429,42042,436.29,43149.46,-0.017,Regular Sale,In Stock,4.7,45,-0.69770317
27-09-2020,Flipkart,Watch,Apple Watch Series 6 ,New,429,42042,433.06,42587.59,-0.009,Regular Sale,In Stock,4.8,60,-0.71015655
29-09-2020,Flipkart,Watch,Apple Watch Series 6 ,Referbished,429,42042,312.11,26276.64,0.272,Regular Sale,In Stock,4.4,146,-1.07167515
01-10-2020,Flipkart,Watch,Apple Watch Series 6 ,New,429,42042,323.84,31855.01,0.245,Big Billion Days,In Stock,4.7,95,-0.948035233
01-10-2020,Amazon,Watch,Apple Watch Series 6 ,New,429,42042,390.51,38757.36,0.09,Great Indian Festival,In Stock,4.9,133,-0.795050403
01-10-2020,Amazon,Watch,Apple Watch Series 6 ,New,429,42042,385.37,37753.37,0.102,Great Indian Festival,In Stock,4.5,57,-0.817303004
01-10-2020,Amazon,Watch,Apple Watch Series 6 ,Referbished,429,42042,274.88,23070.56,0.359,Great Indian Festival,In Stock,4.5,99,-1.142735239
02-10-2020,Flipkart,Watch,Apple Watch Series 6 ,New,429,42042,348.7,34771.74,0.187,Big Billion Days,In Stock,4.6,71,-0.883388345
03-10-2020,Flipkart,Watch,Apple Watch Series 6 ,New,429,42042,324.8,32134.64,0.243,Big Billion Days,In Stock,4.9,62,-0.941837467
04-10-2020,Amazon,Watch,Apple Watch Series 6 ,Referbished,429,42042,265.1,22614.35,0.382,Great Indian Festival,Low Stock,4.4,112,-1.152846753
06-10-2020,Amazon,Watch,Apple Watch Series 6 ,New,429,42042,348.69,33665.07,0.187,Great Indian Festival,Out of Stock,4.4,127,-0.907916763
06-10-2020,Amazon,Watch,Apple Watch Series 6 ,New,429,42042,380.46,36957.63,0.113,Great Indian Festival,In Stock,4.6,112,-0.834939917
06-10-2020,Flipkart,Watch,Apple Watch Series 6 ,New,429,42042,354.95,34964.38,0.173,Big Billion Days,In Stock,4.7,176,-0.87911864
07-10-2020,Flipkart,Watch,Apple Watch Series 6 ,New,429,42042,348.33,34539.69,0.188,Big Billion Days,In Stock,4.7,140,-0.88853154
07-10-2020,Flipkart,Watch,Apple Watch Series 6 ,Referbished,429,42042,308.34,25820.76,0.281,Big Billion Days,Out of Stock,4,157,-1.08177935
08-10-2020,Flipkart,Watch,Apple Watch Series 6 ,New,429,42042,351.25,34046.78,0.181,Big Billion Days,Out of Stock,4.2,163,-0.899456479
08-10-2020,Flipkart,Watch,Apple Watch Series 6 ,New,429,42042,338.18,33386.67,0.212,Big Billion Days,Low Stock,4.6,160,-0.914087266
09-10-2020,Flipkart,Watch,Apple Watch Series 6 ,New,429,42042,373.25,36495.14,0.13,Big Billion Days,In Stock,4.6,44,-0.845190622
11-10-2020,Amazon,Watch,Apple Watch Series 6 ,New,429,42042,370.68,36046.07,0.136,Great Indian Festival,In Stock,4.8,97,-0.855143884
11-10-2020,Amazon,Watch,Apple Watch Series 6 ,New,429,42042,340.08,33597.58,0.207,Great Indian Festival,In Stock,4.5,102,-0.909412622
14-10-2020,Flipkart,Watch,Apple Watch Series 6 ,New,429,42042,328.53,32762.66,0.234,Big Billion Days,Out of Stock,4.3,156,-0.927917927
14-10-2020,Flipkart,Watch,Apple Watch Series 6 ,Referbished,429,42042,287.87,24767.07,0.329,Big Billion Days,Out of Stock,3.9,225,-1.10513351
15-10-2020,Flipkart,Watch,Apple Watch Series 6 ,Referbished,429,42042,255.77,21918.92,0.404,Big Billion Days,Low Stock,4,135,-1.168260379
16-10-2020,Amazon,Watch,Apple Watch Series 6 ,New,429,42042,429.39,42886.43,-0.001,Regular Sale,In Stock,4.8,168,-0.703533011
18-10-2020,Flipkart,Watch,Apple Watch Series 6 ,Referbished,429,42042,331.95,28468.19,0.226,Regular Sale,In Stock,4.3,225,-1.023101273
18-10-2020,Flipkart,Watch,Apple Watch Series 6 ,Referbished,429,42042,360.84,30701.3,0.159,Regular Sale,In Stock,3.8,184,-0.973606252
21-10-2020,Amazon,Watch,Apple Watch Series 6 ,Referbished,429,42042,360.47,30502.87,0.16,Regular Sale,In Stock,4.4,147,-0.978004288
22-10-2020,Amazon,Watch,Apple Watch Series 6 ,New,429,42042,437.28,43200.77,-0.019,Regular Sale,In Stock,4.4,158,-0.696565927
23-10-2020,Flipkart,Watch,Apple Watch Series 6 ,New,429,42042,433.4,42014.16,-0.01,Regular Sale,In Stock,4.7,186,-0.722866147
23-10-2020,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,599.55,58434.06,-0.001,Regular Sale,Out of Stock,4.6,83,-0.358932761
23-10-2020,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,794.53,78340.42,0.006,Regular Sale,In Stock,4.4,87,0.082275103
23-10-2020,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,994.04,97853.88,0.005,Regular Sale,In Stock,4.2,73,0.514774666
24-10-2020,Flipkart,Watch,Apple Watch Series 6 ,New,429,42042,421.78,40536.55,0.017,Regular Sale,In Stock,4.6,140,-0.755616141
24-10-2020,Flipkart,Watch,Apple Watch Series 6 ,New,429,42042,429.4,42578.05,-0.001,Regular Sale,Low Stock,4.3,168,-0.710367996
24-10-2020,Amazon,Watch,Apple Watch Series 6 ,New,429,42042,424.81,42357.77,0.01,Regular Sale,Out of Stock,4.3,263,-0.715250318
24-10-2020,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,591.99,57562.43,0.012,Regular Sale,Out of Stock,4.4,95,-0.378251713
24-10-2020,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,1002.99,98268.29,-0.004,Regular Sale,In Stock,4.3,27,0.523959718
24-10-2020,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,1018.59,101731.95,-0.02,Regular Sale,In Stock,4.7,69,0.600728852
24-10-2020,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,1008.45,97646.38,-0.009,Regular Sale,Out of Stock,4.8,91,0.510175601
25-10-2020,Flipkart,Watch,Apple Watch Series 6 ,Referbished,429,42042,336.55,28181.66,0.216,Regular Sale,In Stock,4.2,199,-1.029451971
25-10-2020,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,808.24,78521.55,-0.012,Regular Sale,In Stock,4.2,41,0.086289698
25-10-2020,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,806.28,77725.7,-0.009,Regular Sale,In Stock,4.9,31,0.068650347
25-10-2020,Amazon,iPhone,iPhone 12 64GB,New,799,78302,799.67,79102.98,-0.001,Regular Sale,In Stock,4.7,54,0.099176609
26-10-2020,Amazon,Watch,Apple Watch Series 6 ,New,429,42042,433.26,41708.05,-0.01,Regular Sale,In Stock,4.9,181,-0.72965082
26-10-2020,Flipkart,iPad,iPad Air (4th Gen) 64GB,Referbished,599,58702,506.91,42461.72,0.154,Regular Sale,In Stock,4,26,-0.712946353
26-10-2020,Amazon,iPad,iPad Air (4th Gen) 64GB,New,599,58702,595.03,59012.48,0.007,Regular Sale,In Stock,4.9,101,-0.346112564
27-10-2020,Flipkart,Watch,Apple Watch Series 6 ,New,429,42042,433.88,43070.96,-0.011,Regular Sale,In Stock,4.5,225,-0.699443057
27-10-2020,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,605.15,59466.82,-0.01,Regular Sale,In Stock,4.5,109,-0.336042497
27-10-2020,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,979.42,94354.27,0.02,Regular Sale,Out of Stock,4.3,72,0.437208729
27-10-2020,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,1010.02,97930.53,-0.011,Regular Sale,In Stock,4.5,98,0.516473549
28-10-2020,Amazon,Watch,Apple Watch Series 6 ,New,429,42042,426.23,41605.76,0.006,Regular Sale,In Stock,4.5,156,-0.731917993
28-10-2020,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,590.75,57350.69,0.014,Regular Sale,In Stock,4.6,110,-0.382944754
28-10-2020,Amazon,iPad,iPad Air (4th Gen) 64GB,New,599,58702,587.31,57601.81,0.02,Regular Sale,In Stock,4.9,109,-0.377378888
28-10-2020,Amazon,iPhone,iPhone 12 64GB,New,799,78302,803.69,79005.34,-0.006,Regular Sale,In Stock,4.3,63,0.0970125
28-10-2020,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,809.06,78509.82,-0.013,Regular Sale,In Stock,4.5,75,0.086029712
